,clean_tweets,prediction,language,confidence
228,KREAYSHAWN you have the most perf voice ever,"('en', 0.9348104596138)",en,0.9348104596138
230,All day I thought it was weird Wednesday letdown,"('en', 0.9907895922660828)",en,0.9907895922660828
233,kahnman not even cool hes seriously hurt,"('en', 0.9813820123672485)",en,0.9813820123672485
235,   Jimmuji Sta KK httptcotqDVFG,"('en', 0.6300638914108276)",en,0.6300638914108276
238,sloanetweets asksloane favorite for the superbowl and what team do you support,"('en', 0.9139322638511658)",en,0.9139322638511658
239,Time is a thing not to waste,"('en', 0.9202580451965332)",en,0.9202580451965332
240,Lakers win tip off,"('en', 0.8584257364273071)",en,0.8584257364273071
241,I gotta stop talking and just do it Talk is cheap,"('en', 0.9555741548538208)",en,0.9555741548538208
243,emilysarahjohn Hahaha so awks but so funny,"('en', 0.8353583812713623)",en,0.8353583812713623
244,Listening to EDC recaps cant wait for EDCNY  at Citi Field insomniacevents,"('en', 0.7178656458854675)",en,0.7178656458854675
245,I turned up currently httptcolcsVaSs,"('en', 0.8465500473976135)",en,0.8465500473976135
246,This heart is on fire,"('en', 0.9536947011947632)",en,0.9536947011947632
249,Oh brill so now my bumpers hanging off might as well just leave it falls off completely,"('en', 0.9860961437225342)",en,0.9860961437225342
250,I miss that time when you text me and said iman tolong aku it surprised me  XD im really miss that time XD,"('en', 0.913119912147522)",en,0.913119912147522
251,And I say hey ey ey ey ey hey ey ey I said hey whats going on,"('en', 0.963112473487854)",en,0.963112473487854
252,How are you mixed and have an inch of nappy hair on yo head tho youre mixed alright  with Black  Black and more Fuckin Black,"('en', 0.9814040064811707)",en,0.9814040064811707
256,Those flautas were good D,"('en', 0.9996362328529358)",en,0.9996362328529358
258,I really want to study abroad in Israel,"('en', 0.9877316355705261)",en,0.9877316355705261
260,I need a blunt,"('en', 0.9775389432907104)",en,0.9775389432907104
262,me and makarah got matching underwear again  nbestfriendprobs,"('en', 0.7869600057601929)",en,0.7869600057601929
269,Wooo Bye malaysia ,"('en', 0.5378139615058899)",en,0.5378139615058899
271,I was so productive this weekend I think I should get this week off ,"('en', 0.9818760752677917)",en,0.9818760752677917
275,ChefKarlMace Ive been spun all day,"('en', 0.7319806218147278)",en,0.7319806218147278
277,Im at Bistro Kafe Tekirdağ Türkiye w  others httptcoToaUaXHg,"('en', 0.5112128853797913)",en,0.5112128853797913
280,I would love to know why everybody hates everybody  makes no sense to me sometimes,"('en', 0.9928518533706665)",en,0.9928518533706665
284,Thursday gonna be the busiest,"('en', 0.6853569746017456)",en,0.6853569746017456
285,tsnotoole Danny boy when is NHL trade deadline this year,"('en', 0.850483238697052)",en,0.850483238697052
288,I just became the mayor of Сканира on foursquare httptcomOmFZGy,"('en', 0.8837608098983765)",en,0.8837608098983765
294,Every single day I think about how we came all this way the sleepless nights and the tears you cried its never too late to make it right,"('en', 0.9896094799041748)",en,0.9896094799041748
295,This girl is so bad,"('en', 0.971764862537384)",en,0.971764862537384
296,Coffee time at SbuxIndonesia pic — httptcoenNvaNDa,"('en', 0.5916910171508789)",en,0.5916910171508789
298,“lauracharlotte tbt happy birthday jadelouiselucas  httptcodAAFCKV” you amp BRCarter look buzzed about the prospect of cake,"('en', 0.778755784034729)",en,0.778755784034729
301,Thats iite my ma bout to give me some  anyway lol,"('en', 0.8202283978462219)",en,0.8202283978462219
302,what do i stand for most nights i dont know anymore,"('en', 0.5114330053329468)",en,0.5114330053329468
307,torquespeak just read that you have landed a new job Congratulations,"('en', 0.9668989777565002)",en,0.9668989777565002
314,CaramelCandy HerbInhaler lmaooo damnits ok nothing good has came out anyway your not missing out lol,"('en', 0.9381089210510254)",en,0.9381089210510254
315,ClaireKeeegans hahahaha boys night in slut dropping and getting mwi sostraight,"('en', 0.6326540112495422)",en,0.6326540112495422
320,blackMamba wait You told your mum Ohmygod Wait You show her my picture Whats wrong with you Hahahaha,"('en', 0.974376916885376)",en,0.974376916885376
322,Tottenham  Bale FavoritePlayerFromEachPremierLeagueTeam,"('en', 0.5694320201873779)",en,0.5694320201873779
324,With RVP and Rooney and Danny and Chicha I smell another treble in the making ForeverUnited,"('en', 0.9187193512916565)",en,0.9187193512916565
329,Cavs suite and dinner with my favorites  cantwait,"('en', 0.7146886587142944)",en,0.7146886587142944
330,ampamp She just had to come bring me all this work,"('en', 0.99964439868927)",en,0.99964439868927
332,“AllisonStreng can this day get any fucking worse honestlynnnHONESTLY”,"('en', 0.789074718952179)",en,0.789074718952179
336,Shouldnt get sunbeds me httptcofgRUpga,"('en', 0.6501023769378662)",en,0.6501023769378662
338,Im at Childrens Pediatric Center Canton GA httptconZVOuyD,"('en', 0.5880659222602844)",en,0.5880659222602844
340,Askfm is pointless and stupid,"('en', 0.9732652902603149)",en,0.9732652902603149
341,Hey AlexButelli httptcoMGLAAE,"('en', 0.527160108089447)",en,0.527160108089447
342,JaimeNicolish esmegracexo  agreed It was amazing,"('en', 0.9468381404876709)",en,0.9468381404876709
343,Netflix until I fall asleep have an early day tomorrow,"('en', 0.9754963517189026)",en,0.9754963517189026
344,asteazy haha then i got bitched at ,"('en', 0.8244932293891907)",en,0.8244932293891907
346,chelseajewell MagicCJohnson You should probably just go back to bed hotmessexpress Amen to that wishfulthinking,"('en', 0.9261109828948975)",en,0.9261109828948975
357,EdaKiDD word ill call you tomorrow,"('en', 0.5890088081359863)",en,0.5890088081359863
362,alicialynnMEOW I would never Haha,"('en', 0.9961471557617188)",en,0.9961471557617188
363,JETSjetsFAN no its not,"('en', 0.8834599256515503)",en,0.8834599256515503
366,Perdidamenteeeeee,"('en', 0.6687743067741394)",en,0.6687743067741394
372,JefferyDean what are you getting next,"('en', 0.9439235925674438)",en,0.9439235925674438
373,Nitta I do doe u live in Willingboro next to that one house wit the grass and the roof and shit yeh I remember ctfuuuuu,"('en', 0.8139086365699768)",en,0.8139086365699768
380,Moving furniture and getting ready for a choir photo shoot  James F Dicke College of Business Administration httptcoxKWqCtR,"('en', 0.8545987606048584)",en,0.8545987606048584
381,Yeahhhh we went out last night one thing started leading to another,"('en', 0.9717070460319519)",en,0.9717070460319519
391,valforg everytime,"('en', 0.5346022844314575)",en,0.5346022844314575
392,I want you in my room  Lets spend the night together  I Wanna be with you I want you in my room,"('en', 0.9868488907814026)",en,0.9868488907814026
393,nagatocitybus n,"('en', 0.5562496781349182)",en,0.5562496781349182
395,Whelp bouta head on to work ,"('en', 0.9087190628051758)",en,0.9087190628051758
396,weldonmagners your more special than I first thought haha,"('en', 0.8970053791999817)",en,0.8970053791999817
399,Only thing we got on is the radio,"('en', 0.9312766790390015)",en,0.9312766790390015
402,acolherdoliam this ,"('en', 0.5117693543434143)",en,0.5117693543434143
407,mentionsomeoneyoucantrust cadestratt only in LA sometimes,"('en', 0.8242843747138977)",en,0.8242843747138977
408,Love is pain and pain is Love ,"('en', 0.9789708852767944)",en,0.9789708852767944
415,I just ousted markook as the mayor of Taksi Oulu on foursquare httptcoHJKVClwfu,"('en', 0.8724815249443054)",en,0.8724815249443054
422,  Jimmys Food amp Drink w  others httptcoGFxVFmob,"('en', 0.6069328188896179)",en,0.6069328188896179
423,You are beautiful dont let no one tell you different,"('en', 0.728847324848175)",en,0.728847324848175
426,lovelaceinjuly Ill sell you my Pentax if I can get it fixed I just had to order a new mm,"('en', 0.9896020889282227)",en,0.9896020889282227
427,DanMarchbank technically he is really bad lol just think £m could of been spent more wisely Need a  goal man,"('en', 0.9983611702919006)",en,0.9983611702919006
431,ThaReaLgreeKid youngwill most likely,"('en', 0.8680590987205505)",en,0.8680590987205505
433,Wind gods are angry again,"('en', 0.9140448570251465)",en,0.9140448570251465
434,Im staying in a lot this week,"('en', 0.9207291603088379)",en,0.9207291603088379
436,KyWaller do you hate it too I cant stand it,"('en', 0.5601713061332703)",en,0.5601713061332703
441,Cracker barrel then its back to Ft Hell,"('en', 0.8713429570198059)",en,0.8713429570198059
442,No school but still no more snow D,"('en', 0.982282817363739)",en,0.982282817363739
443,“chelseanewfield Some people are just gimpslaughable” sorry,"('en', 0.877239465713501)",en,0.877239465713501
445,Sometimes its not what you say its how you say it  The Towers httptcofYfAQCdzbE,"('en', 0.9552684426307678)",en,0.9552684426307678
446,A few people said that my belly had reduced in size bestcarryon gym tour,"('en', 0.9979024529457092)",en,0.9979024529457092
448,ValleeBoo really  Haha,"('en', 0.9969303011894226)",en,0.9969303011894226
449,colling I could say so many shitty things about you but I wont because Im better than that,"('en', 0.985584557056427)",en,0.985584557056427
451,There was a fight in my class today lmaoooo turn up,"('en', 0.9935610890388489)",en,0.9935610890388489
452,Ahhh Love and Basketball is on  nightismade lovethismovie yayy,"('en', 0.7704601883888245)",en,0.7704601883888245
459,Rage against the machine are on the see live before I die list,"('en', 0.9767965078353882)",en,0.9767965078353882
460,MHRoe he followed me,"('en', 0.9456804394721985)",en,0.9456804394721985
461,Im so excited for the game tomorrow I cant sleep AthleteProbs,"('en', 0.7772827744483948)",en,0.7772827744483948
463,thatgirlchann NF,"('en', 0.895451009273529)",en,0.895451009273529
467,For glubberts TED TEDActive dataviz Senior Project Best wishes Glen   TEDActive  httptcoBTlqxWQk,"('en', 0.6814223527908325)",en,0.6814223527908325
469,Biggest Fans of UKwon ,"('en', 0.6222432255744934)",en,0.6222432255744934
470,Keep me close  keep me closeeee Keep me head above water,"('en', 0.8655572533607483)",en,0.8655572533607483
471,change ,"('en', 0.7001444697380066)",en,0.7001444697380066
473,Waiting to head to the resort  Disneys Magical Express Depot pic httptcoAExOHWf,"('en', 0.6320422291755676)",en,0.6320422291755676
476,markwhite well shit that was fast Glad you made it safe,"('en', 0.9999945759773254)",en,0.9999945759773254
478,Im at     w  others httptcommXCrJBIlE,"('en', 0.638733446598053)",en,0.638733446598053
480,damarisobiri jeremychuks cygnenoire nathanobiri yea Pearl is ready I believe but no please I feel so little tall freshies voice,"('en', 0.9107559323310852)",en,0.9107559323310852
483,Pandoras being good today ,"('en', 0.9502002000808716)",en,0.9502002000808716
487,MVC Unknown Injury  S RIVERSIDE AVEE TH ST MF  Units    Time  ,"('en', 0.9197313785552979)",en,0.9197313785552979
492,jmathews she looks retarded,"('en', 0.9979710578918457)",en,0.9979710578918457
493,Doing MsAbads homework I will forever dislike that woman with all my heart I cant say hate I dont hate anybody b,"('en', 0.7643778324127197)",en,0.7643778324127197
494,Havent eaten URGHHHHHH,"('en', 0.8894872665405273)",en,0.8894872665405273
495,do things the way GOD intended in the first place then you wont have to worry about shortcuts,"('en', 0.956292986869812)",en,0.956292986869812
496,The day I wear a short sleeve its freezing FuckMyLife,"('en', 0.9713076949119568)",en,0.9713076949119568
497,i love coming out of the shower smelling of strawberries ,"('en', 0.8114414811134338)",en,0.8114414811134338
499,Im at Disney Technology Solutions amp Services Seattle WA httptcoBhiqCesF,"('en', 0.5524125695228577)",en,0.5524125695228577
500,jebaby my friendje i know ppl lol i was gonna do it today but i dk i know what mami was gonna say,"('en', 0.9946424961090088)",en,0.9946424961090088
505,Mcgee yay okay and how are you getting there,"('en', 0.9566836357116699)",en,0.9566836357116699
506,CeeSandra  never want to FaceTime me,"('en', 0.994481086730957)",en,0.994481086730957
507,That had to hurt,"('en', 1.0000194311141968)",en,1.0000194311141968
508,ªƿāӑ beeunyilrmdhni ,"('en', 0.5726269483566284)",en,0.5726269483566284
509,Not talking to him no more,"('en', 0.9853386878967285)",en,0.9853386878967285
510,NDTurf thanks for your kind words Tim   I hope our paths continue to cross  Have a great week,"('en', 0.9309895038604736)",en,0.9309895038604736
511,wesharper most definitely,"('en', 0.9682831764221191)",en,0.9682831764221191
512,Ill give you a polite handshake if you do,"('en', 0.8406131267547607)",en,0.8406131267547607
513,Dont want to deal with it,"('en', 0.9916175603866577)",en,0.9916175603866577
517,I wonder what my life would be like if I never met my bestfriend,"('en', 0.9174800515174866)",en,0.9174800515174866
520,Happenpappen  YamYam w  others httptcoSSyHKDpGw,"('en', 0.6421532034873962)",en,0.6421532034873962
522,keiralouisexx simranbassra mate he mentioned my name in famous,"('en', 0.9053027033805847)",en,0.9053027033805847
532,“justinbieber u just gotta smile sometimes”,"('en', 0.8801323175430298)",en,0.8801323175430298
534,Actually an unbelievably impressive dj and performer vinnyvibe httptcoQWOWcbIp,"('en', 0.6208819150924683)",en,0.6208819150924683
537,These late night cravings make me wonder if I may be pregnant after all,"('en', 0.8264298439025879)",en,0.8264298439025879
539,I was such a happy person in Taiwan Excluding the terrible pms days I wanna go back every winter and be happy,"('en', 0.9858513474464417)",en,0.9858513474464417
540,YOanthony naw she knows Im not like that lol,"('en', 0.9768984317779541)",en,0.9768984317779541
541,KoryArch please follow me  ,"('en', 0.904058575630188)",en,0.904058575630188
551,Im at Bulvar AVM Samsun Türkiye w  others httptcouWknOZRoNA,"('en', 0.5073881149291992)",en,0.5073881149291992
555,Packing equals lame ncanihaveamaid please,"('en', 0.7247006893157959)",en,0.7247006893157959
556,Cant wait to trade her in thou Black on black all blacked out my next car,"('en', 0.9865349531173706)",en,0.9865349531173706
559,Agiels day  with rezaoloy edrianeri and  others at Solos Bistro pic — httptcoETnLGTcYet,"('en', 0.7556906938552856)",en,0.7556906938552856
561,aaronware thanks I have Android now but not too many paid apps,"('en', 0.9718157649040222)",en,0.9718157649040222
563,In such a shitty mood ,"('en', 0.949015736579895)",en,0.949015736579895
564,Springsteen is such a happy song it always makes me feel better lol,"('en', 0.9802391529083252)",en,0.9802391529083252
571,MrTrellTate Get cho Ol Broke foot having ass outta here lol,"('en', 0.6207655668258667)",en,0.6207655668258667
573,Dennis rodman is  letters away from being penis rodman ok the bus is here peace,"('en', 0.9725469946861267)",en,0.9725469946861267
574,i wish I could just sleep alll day,"('en', 0.9895175099372864)",en,0.9895175099372864
576,JYira it will be close iamblack,"('en', 0.654792845249176)",en,0.654792845249176
581,If trey songs doesnt make it in music he should model oohlala,"('en', 0.9594241976737976)",en,0.9594241976737976
588,goldngteBRIDGE holy crappies I was just about to tweet this at you ,"('en', 0.9324549436569214)",en,0.9324549436569214
589,banthxnyd Bruh Waka stupid as fuck for whatever he did to Gucci thats like me dissing my parents nigga u cant diss who brought you in,"('en', 0.9714998602867126)",en,0.9714998602867126
590,alexxxh she wants theeee V you dirty slota,"('en', 0.9206894636154175)",en,0.9206894636154175
592,Drinking and Arctic Monkeys doesnt get much better,"('en', 0.9922165870666504)",en,0.9922165870666504
596,Chilling with the ladies at the park its such a nice day out today ,"('en', 0.9742118120193481)",en,0.9742118120193481
597,The drunk texts Im getting right nowgtgt,"('en', 0.6243550777435303)",en,0.6243550777435303
603,BeezyKilla lexrockss dnt got yo numba,"('en', 0.5359548926353455)",en,0.5359548926353455
609,If you need me youll come find me,"('en', 0.8925788998603821)",en,0.8925788998603821
610,suxmykockiness eattmywords ZEE,"('en', 0.9272236824035645)",en,0.9272236824035645
616,Im at Maju Ahmad Paya Jaras Sunga Buloh Selangor httptcoaQhvXvlCaK,"('en', 0.5818870663642883)",en,0.5818870663642883
618,I aint sleeping Im working out all day   gettingfit,"('en', 0.6905310153961182)",en,0.6905310153961182
619,evrKidraul every once and a while I try to help another belieber I gifted like  believe albums on iTunes to American beliebers,"('en', 0.9069279432296753)",en,0.9069279432296753
620,talking bout I cant talk to boys round him lol chile bye,"('en', 0.9906373620033264)",en,0.9906373620033264
625,MNaLiSaSmiLe relax with the emojis,"('en', 0.5277338624000549)",en,0.5277338624000549
626,Accountemps Accounting Job Bookkeeper  CENTENNIAL  CO httptcoeCgigQjEIn Jobs TweetMyJobs,"('en', 0.6406283378601074)",en,0.6406283378601074
630,Real talk please dont laugh if I DM you amp ask who you talkin bout ,"('en', 0.7950815558433533)",en,0.7950815558433533
634,SimplyPD should come wake and bake,"('en', 0.9720064997673035)",en,0.9720064997673035
637,Thats just thats just so fun,"('en', 0.9271146655082703)",en,0.9271146655082703
638,I would love to be left alone,"('en', 0.9813254475593567)",en,0.9813254475593567
643,Im at Petek Cafe Hatay Türkiye w  others pic httptcoIdKrSpXkAp,"('en', 0.553617000579834)",en,0.553617000579834
649,Lets get it started Crew nnWe are massive httptcohQIeBGGRxS,"('en', 0.9320208430290222)",en,0.9320208430290222
650,Mineee,"('en', 0.8730855584144592)",en,0.8730855584144592
652,Hungry,"('en', 0.6320570111274719)",en,0.6320570111274719
655,If only I woke up this damn early in New York,"('en', 0.7059918642044067)",en,0.7059918642044067
657,At My Daddy Shit BoredSkii,"('en', 0.5012412667274475)",en,0.5012412667274475
658,Good win Kansas ,"('en', 0.8712427020072937)",en,0.8712427020072937
675,AlsopBen so youd rather wed played Parker Walker Defoe and Huddleston And you say spurs are a crap team,"('en', 0.9884704351425171)",en,0.9884704351425171
677,Wanna say smthg but im not that brave,"('en', 0.6859464645385742)",en,0.6859464645385742
678,clarketo ceros,"('en', 0.7247705459594727)",en,0.7247705459594727
684,Bitches and bottles micasa,"('en', 0.8392101526260376)",en,0.8392101526260376
685,Came out the bank bye teller Give a bum money hi fella Bad lil hoe high yellow brand new Roley Sky Dwella NICKIMINAJ obsessed,"('en', 0.6927655339241028)",en,0.6927655339241028
689,Post office blues,"('en', 0.6585605144500732)",en,0.6585605144500732
690,SpangleOMalley CherylCooper Yesalso have some Karma perfume from Lush which has patchouli in itsmells yummy xx,"('en', 0.9807281494140625)",en,0.9807281494140625
695,I guess ill just sit here an do nothing,"('en', 0.8594176173210144)",en,0.8594176173210144
696,Im at Hillel Moscow w romkagold httptcoNSxctKA,"('en', 0.5689963102340698)",en,0.5689963102340698
703,My legs are sore as fuck squatsfordays,"('en', 0.9664320945739746)",en,0.9664320945739746
712,ItsVinnyMac just say happy Easter haha,"('en', 0.8579564690589905)",en,0.8579564690589905
716,larissafariasss kkkkk ok,"('en', 0.5079858303070068)",en,0.5079858303070068
717,If we was really fighting it would be alot more serious,"('en', 0.9959017634391785)",en,0.9959017634391785
719,DID YOU KNOW Courtney Cox was supposed to play Rachael and Jennifer Aniston was supposed to play Monica,"('en', 0.9993520975112915)",en,0.9993520975112915
724,I hope they dont watch the videos cus i just throw shit,"('en', 0.7197539210319519)",en,0.7197539210319519
729,Just posted a photo  Court house httptcoWzVSxeEN,"('en', 0.7370104789733887)",en,0.7370104789733887
730,God damn too much Chinese food want To Vomit,"('en', 0.9862498641014099)",en,0.9862498641014099
731,RamiTMSW aww l those suck How long were u guys together,"('en', 0.9985910654067993)",en,0.9985910654067993
733,The smallest Mcdonalds i have ever seen  Cancun Mexico  La Isla Shopping Village httptcoxEIOLDbDY,"('en', 0.8249879479408264)",en,0.8249879479408264
736,Im so pretty today  ,"('en', 0.6096457242965698)",en,0.6096457242965698
738,I am struggling My body is betraying me Mutiny,"('en', 0.8118348121643066)",en,0.8118348121643066
739,hallock CassandraTenace  its just windy Dont be a bum last time it was corny,"('en', 0.9995246529579163)",en,0.9995246529579163
743,RhysSachett can I marry you,"('en', 0.7958205938339233)",en,0.7958205938339233
745,This is getting ridicolous,"('en', 0.9759767651557922)",en,0.9759767651557922
